model,micro_f1,macro_f1,weighted_f1,hamming_loss,subset_accuracy
Tuned TF-IDF + OneVsRest Logistic Regression,0.7139479905437353,0.44828967910397477,0.7172603195940441,0.08864468864468865,0.3619047619047619
TF-IDF + OneVsRest Logistic Regression,0.7065727699530516,0.4514433246970475,0.7160328277411709,0.09157509157509157,0.3476190476190476
TF-IDF + OneVsRest Linear SVM,0.7161997563946407,0.4505401810781916,0.7139802339199963,0.08534798534798535,0.3619047619047619
Bag of Words + OneVsRest Logistic Regression,0.7121588089330024,0.44247690085613817,0.7030748014688694,0.08498168498168499,0.38571428571428573
TF-IDF + Classifier Chain Logistic Regression,0.6783625730994152,0.40466965815930683,0.6877230129381479,0.10073260073260074,0.3952380952380952
